Timestamp,Ticker,ProfileType,Bias,Confidence,DistComp,PeakComp,AlignComp,Price
2026-04-18 12:31,ES=F,Top-heavy profile,Neutral,0.5,0.0,0.0,0.0,7164.0
2026-04-18 12:34,NQ=F,Top-heavy profile,Bearish,0.52,0.0,0.071,0.0,26825.5
